Time,lhl,lhm,lvl,lrf,lgl,lgm,lta
0,6.84E-01,8.48E-01,8.55E-01,8.57E-01,0.00E+00,0.00E+00,8.64E-01
1,7.61E-01,9.39E-01,9.44E-01,9.46E-01,0.00E+00,0.00E+00,9.50E-01
2,8.07E-01,9.91E-01,9.94E-01,9.95E-01,0.00E+00,0.00E+00,9.97E-01
3,8.16E-01,1.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00,1.00E+00
4,7.89E-01,9.66E-01,9.62E-01,9.60E-01,0.00E+00,0.00E+00,9.58E-01
5,7.30E-01,8.95E-01,8.84E-01,8.81E-01,0.00E+00,0.00E+00,8.77E-01
6,6.46E-01,7.93E-01,7.75E-01,7.68E-01,0.00E+00,0.00E+00,7.62E-01
7,5.45E-01,6.71E-01,6.43E-01,6.34E-01,0.00E+00,0.00E+00,6.24E-01
8,4.38E-01,5.40E-01,5.02E-01,4.88E-01,0.00E+00,0.00E+00,4.75E-01
9,3.34E-01,4.12E-01,3.61E-01,3.43E-01,0.00E+00,0.00E+00,3.25E-01
10,2.40E-01,2.96E-01,2.30E-01,2.07E-01,0.00E+00,0.00E+00,1.83E-01
11,1.63E-01,1.99E-01,1.17E-01,8.87E-02,0.00E+00,0.00E+00,5.75E-02
12,1.05E-01,1.24E-01,2.58E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00
13,6.83E-02,7.29E-02,0.00E+00,0.00E+00,1.85E-02,1.85E-02,0.00E+00
14,5.00E-02,4.44E-02,0.00E+00,0.00E+00,5.07E-02,5.07E-02,0.00E+00
15,4.87E-02,3.62E-02,0.00E+00,0.00E+00,8.19E-02,8.19E-02,0.00E+00
16,6.04E-02,4.41E-02,0.00E+00,0.00E+00,1.11E-01,1.11E-01,0.00E+00
17,7.98E-02,6.17E-02,0.00E+00,0.00E+00,1.37E-01,1.37E-01,0.00E+00
18,1.03E-01,8.42E-02,0.00E+00,0.00E+00,1.59E-01,1.59E-01,0.00E+00
19,1.27E-01,1.09E-01,0.00E+00,0.00E+00,1.78E-01,1.78E-01,0.00E+00
20,1.48E-01,1.31E-01,0.00E+00,0.00E+00,1.93E-01,1.93E-01,0.00E+00
21,1.66E-01,1.50E-01,0.00E+00,0.00E+00,2.06E-01,2.06E-01,0.00E+00
22,1.81E-01,1.65E-01,0.00E+00,0.00E+00,2.16E-01,2.16E-01,0.00E+00
