Time,lhl,lhm,lvl,lrf,lgl,lgm,lta
0,7.68E-01,7.76E-01,4.80E-01,5.06E-01,0.00E+00,0.00E+00,8.83E-01
1,7.02E-01,7.12E-01,5.66E-01,5.94E-01,0.00E+00,0.00E+00,9.57E-01
2,6.40E-01,6.51E-01,6.53E-01,6.83E-01,0.00E+00,0.00E+00,9.97E-01
3,5.82E-01,5.94E-01,7.39E-01,7.68E-01,0.00E+00,0.00E+00,1.00E+00
4,5.28E-01,5.41E-01,8.19E-01,8.45E-01,0.00E+00,0.00E+00,9.64E-01
5,4.77E-01,4.92E-01,8.89E-01,9.10E-01,0.00E+00,0.00E+00,8.93E-01
6,4.29E-01,4.44E-01,9.45E-01,9.59E-01,0.00E+00,0.00E+00,7.92E-01
7,3.83E-01,3.99E-01,9.82E-01,9.90E-01,0.00E+00,0.00E+00,6.70E-01
8,3.40E-01,3.55E-01,1.00E+00,1.00E+00,0.00E+00,0.00E+00,5.36E-01
9,2.99E-01,3.13E-01,9.96E-01,9.89E-01,1.66E-02,1.66E-02,4.00E-01
10,2.60E-01,2.74E-01,9.71E-01,9.57E-01,3.79E-02,3.79E-02,2.69E-01
11,2.23E-01,2.36E-01,9.25E-01,9.06E-01,6.13E-02,6.13E-02,1.51E-01
12,1.89E-01,2.00E-01,8.62E-01,8.38E-01,8.56E-02,8.56E-02,4.89E-02
13,1.56E-01,1.67E-01,7.86E-01,7.59E-01,1.10E-01,1.10E-01,0.00E+00
14,1.26E-01,1.35E-01,7.01E-01,6.71E-01,1.34E-01,1.34E-01,0.00E+00
15,9.77E-02,1.05E-01,6.10E-01,5.80E-01,1.57E-01,1.57E-01,0.00E+00
16,7.19E-02,7.80E-02,5.20E-01,4.89E-01,1.77E-01,1.77E-01,0.00E+00
17,4.95E-02,5.42E-02,4.35E-01,4.04E-01,1.94E-01,1.94E-01,0.00E+00
18,3.12E-02,3.48E-02,3.56E-01,3.27E-01,2.08E-01,2.08E-01,0.00E+00
19,1.71E-02,1.97E-02,2.88E-01,2.59E-01,2.20E-01,2.20E-01,0.00E+00
20,6.30E-03,8.12E-03,2.30E-01,2.02E-01,2.29E-01,2.29E-01,0.00E+00
21,0.00E+00,0.00E+00,1.83E-01,1.56E-01,2.37E-01,2.37E-01,0.00E+00
22,0.00E+00,0.00E+00,1.46E-01,1.20E-01,2.43E-01,2.43E-01,0.00E+00
23,0.00E+00,0.00E+00,1.18E-01,9.21E-02,2.48E-01,2.48E-01,0.00E+00
24,0.00E+00,0.00E+00,9.59E-02,7.05E-02,2.54E-01,2.54E-01,0.00E+00
25,0.00E+00,0.00E+00,7.88E-02,5.37E-02,2.60E-01,2.60E-01,0.00E+00
26,0.00E+00,0.00E+00,6.46E-02,3.98E-02,2.69E-01,2.69E-01,0.00E+00
27,0.00E+00,0.00E+00,5.20E-02,2.73E-02,2.79E-01,2.79E-01,0.00E+00
28,0.00E+00,0.00E+00,3.97E-02,1.52E-02,2.94E-01,2.94E-01,0.00E+00
29,0.00E+00,0.00E+00,2.72E-02,2.88E-03,3.13E-01,3.13E-01,0.00E+00
30,0.00E+00,0.00E+00,1.42E-02,0.00E+00,3.39E-01,3.39E-01,0.00E+00
31,0.00E+00,0.00E+00,5.68E-04,0.00E+00,3.72E-01,3.72E-01,0.00E+00
32,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.11E-01,4.11E-01,0.00E+00
33,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.57E-01,4.57E-01,0.00E+00
34,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.10E-01,5.10E-01,0.00E+00
35,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.68E-01,5.68E-01,0.00E+00
36,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.30E-01,6.30E-01,0.00E+00
37,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.94E-01,6.94E-01,0.00E+00
38,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.58E-01,7.58E-01,0.00E+00
39,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.21E-01,8.21E-01,0.00E+00
40,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.78E-01,8.78E-01,0.00E+00
41,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.27E-01,9.27E-01,0.00E+00
42,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.65E-01,9.65E-01,0.00E+00
